"Year","Question","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Source"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","18-34 years","12.9","11.9","13.9","12.9 (CI 11.9-13.9)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","35-64 years","9.0","8.4","9.5","9.0 (CI 8.4-9.5)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","65+ years","14.9","14.1","15.8","14.9 (CI 14.1-15.8)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","AI/AN, NH","19.3","13.2","26.8","19.3 (CI 13.2-26.8)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Asian, NH","7.2","5.8","8.9","7.2 (CI 5.8-8.9)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Black, NH","12.0","10.7","13.4","12.0 (CI 10.7-13.4)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Hispanic","8.8","7.9","9.8","8.8 (CI 7.9-9.8)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Multiple/Other, NH","19.5","15.7","23.9","19.5 (CI 15.7-23.9)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","NHOPI, NH","14.9","7.6","25.3","14.9 (CI 7.6-25.3)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","White, NH","12.3","11.7","12.9","12.3 (CI 11.7-12.9)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Female","13.2","12.6","13.9","13.2 (CI 12.6-13.9)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Male","9.6","9.0","10.2","9.6 (CI 9.0-10.2)","NHIS"
"2024","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Total","Total","11.5","11.0","11.9","11.5 (CI 11.0-11.9)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","18-34 years","13.4","12.3","14.4","13.4 (CI 12.3-14.4)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","35-64 years","9.5","9.0","10.1","9.5 (CI 9.0-10.1)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","65+ years","14.7","13.8","15.6","14.7 (CI 13.8-15.6)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","AI/AN, NH","19.3","11.8","28.9","19.3 (CI 11.8-28.9)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Asian, NH","6.1","4.9","7.6","6.1 (CI 4.9-7.6)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Black, NH","14.1","12.6","15.6","14.1 (CI 12.6-15.6)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Hispanic","9.8","8.7","10.8","9.8 (CI 8.7-10.8)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Multiple/Other, NH","17.5","13.6","21.9","17.5 (CI 13.6-21.9)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","White, NH","12.3","11.7","12.9","12.3 (CI 11.7-12.9)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Female","13.4","12.7","14.1","13.4 (CI 12.7-14.1)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Male","10.1","9.5","10.7","10.1 (CI 9.5-10.7)","NHIS"
"2023","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Total","Total","11.8","11.4","12.3","11.8 (CI 11.4-12.3)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","18-34 years","12.5","11.4","13.6","12.5 (CI 11.4-13.6)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","35-64 years","9.4","8.9","10.0","9.4 (CI 8.9-10.0)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","65+ years","14.4","13.6","15.3","14.4 (CI 13.6-15.3)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","AI/AN, NH","22.1","16.2","29.0","22.1 (CI 16.2-29.0)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Asian, NH","7.9","6.3","9.6","7.9 (CI 6.3-9.6)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Black, NH","11.9","10.5","13.4","11.9 (CI 10.5-13.4)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Hispanic","9.3","8.2","10.4","9.3 (CI 8.2-10.4)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Multiple/Other, NH","18.0","14.4","22.1","18.0 (CI 14.4-22.1)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","White, NH","11.9","11.3","12.5","11.9 (CI 11.3-12.5)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Female","12.6","12.0","13.3","12.6 (CI 12.0-13.3)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Male","10.1","9.4","10.8","10.1 (CI 9.4-10.8)","NHIS"
"2022","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Total","Total","11.4","10.9","11.9","11.4 (CI 10.9-11.9)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","18-34 years","9.2","8.3","10.0","9.2 (CI 8.3-10.0)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","35-64 years","8.2","7.6","8.7","8.2 (CI 7.6-8.7)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","65+ years","13.3","12.5","14.2","13.3 (CI 12.5-14.2)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","AI/AN, NH","16.2","10.7","23.1","16.2 (CI 10.7-23.1)","NHIS"
